SMR H2,4885.223280184429
OIl H2,-12026.55294117647
Coal H2,763.2028800000002
SMR Methanol,104978.13968110658
Oil Methanol,3952.24705882353
Coal Methanol,13530.1362115
SMR Ammonia,48129.15660818442
Oil Ammonia,15194.380386823534
Coal Ammonia,7390.4028800000015
Steam Cracker,-41.15172114735874
Catalytic Reforming,-39221.1588235294
THD,-5640
TDP,2720
Metathesis,35000
Propane DeH2ation,21300
MTO,-24480
ethylhexanol,37800
acetic acid,69400
acrylonitrile,83600
abs,374480
Adipic acid,62340
Adiponitrile,36511.04914838579
ammonium nitrate,12860
ammonium sulphate,-20940
anniline,26760
bisPhenola,351200
calcium ammonium nitrate,-205500
caprolactam,117540
chloroprene,403375
diammonium phosphate,15860
DMT,74000
dioctyl phthalate,-50300
Ethylene Chlorohydrin,-19600
Ethylene Oxide,-9375
Ethylene Glycol,86800
formaldehyde,-11200
hexamethylenediamine,-37200
isophthalic acid,197400
maleic anhydride via benzene,157600
maleic anhydride via butane,244000
melamine,136200
methyl methacrylate,154031.0491483858
methyl tertbutyl ether,80800
methylene diphenyl isocyanate,335280
monoammonium phosphate,3060
nitric acid,-6520
nitrile butadiene,248279.99999999994
phenol and acetone,79100
phthalic anhydride,211200
polyacrylonitrile,0
polyamide 6,11300
polyamide 66,319800
polybutadiene,75600
polycarbonate,141940
HDPE,4200
LLDPE,4200
LDPE,4200
pet dmt amorphous,-98400
pet dmt bottles,-98400
pet tpa amorphous,-128500
pet tpa bottles,-128500
PMMA beads,20000
PMMA sheets,20000
polypropylene,27300
propylene oxide,90730
polystyrene,124800
polyvinyl acetate,-21500
polyvinyl chloride,43750
styrene,10000
Styreneacylonitrile,438300
Styrenebutadiene,1.11598E+06
terephthalic acid,139300
toluene diisocyanate,346560
urea,-18400
urea ammonium nitrate,21939.999999999985
vinyl acetate,-6800
vinyl chloride,146750
Coal Energy,-3.1996338278599996
NG Energy,-17.734857584090612
Coal Elec,-12.821818194639999
NG Elec,-53.673754089385916
Solar Elec,0
Hydro elec,0
Wind elec,0
Green H2,1800
Methanol-thermo-one,209.8
Methanol-thermo-two,204.2489908
Methanol-electro-one,550
Methanol-electro-two,550
Syngas-electro,319.7368422
Methanol_Synthesis,10400
Ethylene-electro-one,700
Ethylene-electro-two,700
Carbon capture,0
Balance CO2 Emitter Module,0
PET waste creation,-950
PET Sorting,0
Mechanical Recycling,944.5790999999999
Enzymatic Hydrolysis,-13.109052324999965
Methanolysis,-11040
CCEI,774.7
Corn starch production,-23.489999999999995
Maize grain production,85.4427
Pine Production,118.80000000000001
Pinewood to syngas,-76.73636520000001
Eucalyptus Production,99.9
Eucalyptus Wood to syngas,-70.77902220000001
WTE1,-850000
WTE2,-1.7E+06
WTE3,-950000
WTE4,-2.2E+06
WTE5,-3E+06
WTE6,-1.8E+06
WTE7,-3.2E+06
WTE8,-2.3E+06
WTE9,-1.7E+06
PyroDiesel1,679450
PyroDiesel2,-170550
PyroDiesel3,579450
PyroDiesel4,-670550
PyroDiesel5,-1.47055E+06
PyroDiesel6,-270550
PyroDiesel7,-1.67055E+06
PyroDiesel8,-770550
PyroDiesel9,-170550
PyroSyngas1,-665.5
PyroSyngas2,-1515.5
PyroSyngas3,-765.5
PyroSyngas4,-2015.5
PyroSyngas5,-2815.5
PyroSyngas6,-1615.5
PyroSyngas7,-3015.5
PyroSyngas8,-2115.5
PyroSyngas9,-1515.5
Ethylene Recovery,-460.6
MTA,-438.62973185
Ethylbenzene,-2200
Acrylic acid,135000
Nitrobenzene,57960
Isopropanol,10800
Butyraldehyde,6300
n-Butanol,9000
EVA copolymer,278480
EPDM1,524240.5882352941
EPDM2,398800
EPDM3,445500
ENB,69952.9411764706
"Trans 1,4 hexadiene",-79000
Epichlorohydrin1,265592.5
Allyl chloride,-49955
Hypochlorous acid,-5855
Chloralkali,16715
Hydrochloric acid,-2885
Epichlorohydrin2,197252.5
Glycerol,-38100
Propylene Glycol,128700
Isobutanol,96700
"1,4 butanediol",90300
Acetylene,0
BADGE/DGEBA,-624735
Acetaldehyde,122720
Diethanolamine (DEA),-27200
Ethyl acetate,-2160
2-butoxyethanol/EGBE,145800
Ethylene dichloride,62025
2 ethylhexyl acrylate,60800
n butyl acrylate,90600
ethyl acrylate,76200
methyl acrylate,41080
dinitrotoluene,-127920
diethylene glycol,91160
dichloropropylene,-52925
Hydrogen cyanide1,32000
Hydrogen cyanide2,26800
Acrolein,-42000
Allyl alcohol,-345
Benzoic acid,118760
Carbon disulphide,83360
Carbon tetrachloride,-23420
Chlorobenzene,-83855
Chloroform,-17565
Crotonaldehyde,-161920
Cyclohexanol,-56823.5294117647
Cyclohexanone,168576.4705882353
Peracetic acid,-80960
Perchloroethylene1,-73240
Perchloroethylene2,-92176.78284677664
Perchloroethylene3,-91655
Phosgene,-12425
Toluene diamine,-14890
Trichloroethylene,-37165
Triethylene glycol,0
Sulphuric acid,9860
Hydroxyl amine,-38220
Nitrous acid,6885
Sodium nitrite,23400
Nitrogen dioxide,0
Nitric oxide,-108800
Potassium hydroxide,-2475
Calcium hydroxide,330
Phosphoric acid,583920
PBT-TPA,248400
PBT-DMT,278500
Caprolactone,-138400
PCL,0
Pentaerithrytol,200640
Glyptal,-647200
SMA,-260800
PEG,-86800
Tetrahydrofuran,58500
PTMEG,172800
PPG,31900
PBO,237600
butylene oxide,-33600
PA/POM,84000
POM copolymer,310800
trioxane,-33600
PPO,210000
"2,6 dimethylphenol",-166800
Ethanol,-110600
Corn sucrose,50850
Sugacane sucrose,20400
Sugarbeet sucrose,1500
Ethanol to butadiene,32088.22
Oxidative methane coupling,-13598.262588235288
Electric steam cracking,5035.213579635158
Electric Haber Bosch,43600